name,gender,age,steps,date,hightemp,watereq,snowfall
Beijing,All,60+,4856,6/6/2014,81,0.44,0
Beijing,All,All,6120,6/6/2014,81,0.44,0
Beijing,M,20-29,7816,7/6/2014,86,0,0
Beijing,M,30-39,7076,7/6/2014,86,0,0
Beijing,M,40-49,7631,7/6/2014,86,0,0
Beijing,M,50-59,8268,7/6/2014,86,0,0
Beijing,M,All,7454,7/6/2014,86,0,0
Beijing,F,20-29,6909,7/6/2014,86,0,0
Beijing,F,30-39,5802,7/6/2014,86,0,0
Beijing,F,40-49,7231,7/6/2014,86,0,0
Beijing,F,50-59,13618,7/6/2014,86,0,0
Beijing,F,60+,6614,7/6/2014,86,0,0
Beijing,F,All,6828,7/6/2014,86,0,0
Beijing,All,20-29,7406,7/6/2014,86,0,0
Beijing,All,30-39,6758,7/6/2014,86,0,0
Beijing,All,40-49,7453,7/6/2014,86,0,0
Beijing,All,50-59,8863,7/6/2014,86,0,0
Beijing,All,60+,6614,7/6/2014,86,0,0
Beijing,All,All,7249,7/6/2014,86,0,0
Beijing,M,20-29,7366,8/6/2014,87,0.02,0
Beijing,M,30-39,6384,8/6/2014,87,0.02,0
Beijing,M,40-49,9019,8/6/2014,87,0.02,0
Beijing,M,50-59,8809,8/6/2014,87,0.02,0
Beijing,M,All,7309,8/6/2014,87,0.02,0
Beijing,F,20-29,6945,8/6/2014,87,0.02,0
Beijing,F,30-39,5621,8/6/2014,87,0.02,0
Beijing,F,40-49,5125,8/6/2014,87,0.02,0
Beijing,F,50-59,17717,8/6/2014,87,0.02,0
Beijing,F,60+,4393,8/6/2014,87,0.02,0
Beijing,F,All,6118,8/6/2014,87,0.02,0
Beijing,All,20-29,7189,8/6/2014,87,0.02,0
Beijing,All,30-39,6162,8/6/2014,87,0.02,0
Beijing,All,40-49,7530,8/6/2014,87,0.02,0
Beijing,All,50-59,9997,8/6/2014,87,0.02,0
Beijing,All,60+,4393,8/6/2014,87,0.02,0
Beijing,All,All,6905,8/6/2014,87,0.02,0
Beijing,M,20-29,8581,9/6/2014,87,0.02,0
Beijing,M,30-39,6285,9/6/2014,87,0.02,0
Beijing,M,40-49,6245,9/6/2014,87,0.02,0
Beijing,M,50-59,7505,9/6/2014,87,0.02,0
Beijing,M,All,6846,9/6/2014,87,0.02,0
Beijing,F,20-29,6451,9/6/2014,87,0.02,0
Beijing,F,30-39,5514,9/6/2014,87,0.02,0
Beijing,F,40-49,4487,9/6/2014,87,0.02,0
Beijing,F,50-59,10551,9/6/2014,87,0.02,0
Beijing,F,60+,3988,9/6/2014,87,0.02,0
Beijing,F,All,5488,9/6/2014,87,0.02,0
Beijing,All,20-29,7575,9/6/2014,87,0.02,0
Beijing,All,30-39,6058,9/6/2014,87,0.02,0
Beijing,All,40-49,5464,9/6/2014,87,0.02,0
Beijing,All,50-59,7695,9/6/2014,87,0.02,0
Beijing,All,60+,3988,9/6/2014,87,0.02,0
Beijing,All,All,6359,9/6/2014,87,0.02,0
Beijing,M,20-29,9884,10/6/2014,78,0.94,0
Beijing,M,30-39,6883,10/6/2014,78,0.94,0
Beijing,M,40-49,6618,10/6/2014,78,0.94,0
Beijing,M,50-59,8457,10/6/2014,78,0.94,0
Beijing,M,All,7609,10/6/2014,78,0.94,0
Beijing,F,20-29,5773,10/6/2014,78,0.94,0
Beijing,F,30-39,5684,10/6/2014,78,0.94,0
Beijing,F,40-49,4400,10/6/2014,78,0.94,0
Beijing,F,50-59,5840,10/6/2014,78,0.94,0
Beijing,F,60+,6717,10/6/2014,78,0.94,0
Beijing,F,All,5479,10/6/2014,78,0.94,0
Beijing,All,20-29,8106,10/6/2014,78,0.94,0
Beijing,All,30-39,6511,10/6/2014,78,0.94,0
Beijing,All,40-49,5755,10/6/2014,78,0.94,0
Beijing,All,50-59,8108,10/6/2014,78,0.94,0
Beijing,All,60+,6717,10/6/2014,78,0.94,0
Beijing,All,All,6852,10/6/2014,78,0.94,0
Beijing,M,20-29,9372,11/6/2014,86,0.059999999,0
Beijing,M,30-39,7155,11/6/2014,86,0.059999999,0
Beijing,M,40-49,5289,11/6/2014,86,0.059999999,0
Beijing,M,50-59,10828,11/6/2014,86,0.059999999,0
Beijing,M,All,7623,11/6/2014,86,0.059999999,0
Beijing,F,20-29,5288,11/6/2014,86,0.059999999,0
Beijing,F,30-39,5109,11/6/2014,86,0.059999999,0
Beijing,F,40-49,4189,11/6/2014,86,0.059999999,0
Beijing,F,50-59,9901,11/6/2014,86,0.059999999,0
Beijing,F,60+,6557,11/6/2014,86,0.059999999,0
Beijing,F,All,5179,11/6/2014,86,0.059999999,0
Beijing,All,20-29,7495,11/6/2014,86,0.059999999,0
Beijing,All,30-39,6457,11/6/2014,86,0.059999999,0
Beijing,All,40-49,4843,11/6/2014,86,0.059999999,0
Beijing,All,50-59,10704,11/6/2014,86,0.059999999,0
Beijing,All,60+,6557,11/6/2014,86,0.059999999,0
Beijing,All,All,6701,11/6/2014,86,0.059999999,0
Beijing,M,20-29,8994,12/6/2014,97,0,0
Beijing,M,30-39,6948,12/6/2014,97,0,0
Beijing,M,40-49,5637,12/6/2014,97,0,0
Beijing,M,50-59,8569,12/6/2014,97,0,0
Beijing,M,All,7294,12/6/2014,97,0,0
Beijing,F,20-29,5908,12/6/2014,97,0,0
Beijing,F,30-39,4930,12/6/2014,97,0,0
Beijing,F,40-49,5399,12/6/2014,97,0,0
Beijing,F,50-59,9888,12/6/2014,97,0,0
Beijing,F,60+,4202,12/6/2014,97,0,0
